,company,gamecount,salary,position,Adventure,Arcade,Racing,Role-playing (RPG),Simulator,Sport,Strategy,Platform,Puzzle
0,Electronic Arts,20,132000,United States,0.3,0.05,0.35,0.05,0.1,0.15,0.0,0.0,0.0
1,2K Sports,15,123000,United States,0.0,0.0,0.0,0.0,0.34615384615384615,0.5769230769230769,0.07692307692307693,0.0,0.0
2,Ubisoft,13,103000,France,0.4444444444444444,0.05555555555555555,0.05555555555555555,0.1111111111111111,0.1111111111111111,0.05555555555555555,0.1111111111111111,0.05555555555555555,0.0
3,Konami,12,108000,Japan,0.21428571428571427,0.0,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.5,0.0,0.07142857142857142,0.0
4,EA Sports,12,108000,United States,0.0,0.0,0.0,0.0,0.14285714285714285,0.8571428571428571,0.0,0.0,0.0
5,Sega,12,101000,Japan,0.30434782608695654,0.17391304347826086,0.043478260869565216,0.043478260869565216,0.0,0.0,0.043478260869565216,0.34782608695652173,0.043478260869565216
6,Square Enix,11,70200,Japan,0.5,0.0,0.0,0.375,0.0,0.0625,0.0,0.0,0.0625
7,Blizzard Entertainment,10,85700,United States,0.2,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0
8,Microsoft Studios,9,132300,United States,0.3333333333333333,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.2222222222222222,0.2222222222222222
9,Milestone srl,7,30300,Italy,0.0,0.0,0.35,0.0,0.3,0.35,0.0,0.0,0.0
