game,release,studio,size,metascore,duration
Ender Lilies: Quietus of the Knights,2021,Adglobe,456,84,16
Valheim,2021,Iron Gate Studio,10,85,24
Loop Hero,2021,Four Quarters20,20,86,18
Before Your Eyes,2021,GoodbyeWorld Games,10,77,52
Chicory: A Colorful Tale,2021,Greg Lobanov1,1,90,22
Death's Door,2021,Acid Nerve,2,89,24
The Forgotten City,2021,Modern Storyteller,3,84,54
Kena: Bridge of Spirits,2021,Ember Lab,14,81,60
Inscryption,2021,Daniel Mullins Games,2,85,34
Unpacking,2021,Witch Beam,6,84,43
Carto,2020,Sunhead Games,5,72,49
GFTO,2020,10 Chambers,88,78,37
One Step From Eden,2020,Thomas Moon Kang,1,82,48
Ooblets,2020,Glumberland,2,70,43
The Pathless,2020,Giant Squid,14,81,24
Phasmophobia,2020,Kinetic Games,3,71,6
Roki,2020,Polygon Treehouse,8,79,48
Spelunky 2,2020,Derek Yu,1,91,35
Spiritfarer,2020,Thunder Lotus Games,16,84,36
Umurangi Generation,2020,ORIGAME DIGITAL,1,84,10
Ape Out,2019,"Gabe Cuzzillo, Bennett Foddy, Matt Boch",3,83,48
Baba Is You,2019,Arvi Teikari,1,87,15
Cadence of Hyrule,2019,Brace Yourself Games,33,85,2
Children of Morta,2019,Dead Mage,18,82,60
Disco Elysium,2019,ZA/UM,60,91,34
Indivisible,2019,Lab Zero Games,18,78,49
Mordhau,2019,Triternion,10,81,26
Slay the Spire,2019,Mega Crit Games,8,89,36
Katana Zero,2019,Justin Stander,1,83,72
Untitled Goose Game,2019,House House,4,79,23
Insurgency: Sandstorm,2018,New World Interactive,58,78,34
Kingdom Come: Deliverance,2018,Warhorse Studios,180,76,78
The Banner Saga 3,2018,Stoic Studio,45,82,18
Pillars Of Eternity II: Deadfire,2018,Obsidian Entertainment,200,88,16
Sunless Skies,2018,Failbetter Games,12,87,24
Subnautica,2018,Unknown Worlds Entertainment,26,87,48
Donut County,2018,Ben Esposito,1,77,70
Celeste,2018,Extremely OK Games,6,88,16
Into The Breach,2018,Subset Games,2,90,33
Dead Cells,2018,Motion Twin,9,89,50
Cuphead,2017,Studio MDHR,15,89,83
Cogmind,2017,Grid Sage Games,1,91,63
Rakuen,2017,Laura Shigihara,3,84,43
Deceit,2017,World Makers,8,76,36
Rime,2017,Tequila Works,70,78,45
Figment,2017,Bedtime Digital Games,13,77,24
Sky Rogue,2017,Fractal Phase,3,76,7
The Long Dark,2017,Hinterland Studio,35,77,47
Oxygen Not Included,2017,Klei Entertainment,35,86,8
Brawlhalla,2017,Blue Mammoth Games,34,68,42
